"","UF","ESTRATO_POF","TIPO_SITUACAO_REG","COD_UPA","NUM_DOM","NUM_UC","COD_INFORMANTE","QUADRO","SEQ","V9001","V9013","PESO","PESO_FINAL","RENDA_TOTAL"
"18831",27,2703,1,270030009,12,1,4,42,1,4200201,1,593.86904762,764.33357359,1111.32
"18832",27,2703,1,270030009,12,1,4,42,3,4200401,1,593.86904762,764.33357359,1111.32
"18833",27,2703,1,270030009,12,1,4,42,4,4200501,1,593.86904762,764.33357359,1111.32
"18834",27,2703,1,270030009,12,1,4,42,11,4201201,1,593.86904762,764.33357359,1111.32
"18835",27,2705,1,270019695,11,1,1,42,6,4200701,1,562.7121045,747.30276407,1489.96
"18836",27,2705,1,270019695,11,1,1,42,21,4202201,1,562.7121045,747.30276407,1489.96
"18837",27,2705,1,270023219,5,1,1,42,4,4200501,1,536.32675716,712.26203394,1124.34
"18838",27,2705,1,270023219,5,1,2,42,6,4200701,1,536.32675716,712.26203394,1124.34
"18839",27,2707,1,270026315,3,1,2,29,5,2900601,1,309.98704013,411.67440697,929.86
"18840",27,2707,1,270026315,6,1,1,42,16,4201701,1,309.98704013,411.67440697,1833.75
"18841",27,2707,1,270026315,7,1,2,42,7,4200801,2,309.98704013,411.67440697,2378.49
"18842",27,2707,1,270026315,7,1,2,42,33,4204801,2,309.98704013,411.67440697,2378.49
"18843",27,2707,1,270026315,12,1,1,42,33,4206901,2,309.98704013,411.67440697,3693.07
"18844",27,2707,1,270026315,12,1,1,42,34,4202001,2,309.98704013,411.67440697,3693.07
"18845",27,2704,1,270014450,2,1,1,42,1,4200201,1,309.54461177,431.13684909,5905.94
"18846",27,2704,1,270014450,2,1,2,42,0,4200101,1,309.54461177,431.13684909,5905.94
"18847",27,2704,1,270014450,2,1,3,42,0,4200101,1,309.54461177,431.13684909,5905.94
"18848",27,2704,1,270014450,3,1,2,29,8,2900901,1,309.54461177,431.13684909,787.82
"18849",27,2704,1,270014450,3,1,2,29,37,2904501,1,309.54461177,431.13684909,787.82
"18850",27,2704,1,270014450,3,1,2,42,21,4202201,1,309.54461177,431.13684909,787.82
"18851",27,2704,1,270014450,3,1,2,42,27,4202801,1,309.54461177,431.13684909,787.82
"18852",27,2704,1,270014450,3,1,2,42,33,4207001,1,309.54461177,431.13684909,787.82
"18853",27,2704,1,270014450,4,1,1,42,1,4200201,1,309.54461177,431.13684909,2095.51
"18854",27,2704,1,270014450,4,1,1,42,3,4200401,1,309.54461177,431.13684909,2095.51
"18855",27,2704,1,270014450,4,1,1,42,4,4200501,2,309.54461177,431.13684909,2095.51
"18856",27,2704,1,270014450,4,1,1,42,11,4201201,2,309.54461177,431.13684909,2095.51
"18857",27,2704,1,270014450,8,1,1,42,1,4200201,1,309.54461177,431.13684909,7766
"18858",27,2704,1,270014450,8,1,3,42,1,4200201,1,309.54461177,431.13684909,7766
"18859",27,2704,1,270014450,10,1,1,42,1,4200201,1,309.54461177,431.13684909,1471.31
"18860",27,2704,1,270014450,11,1,1,42,1,4200201,1,309.54461177,431.13684909,2697.14
